branch_code,name,city,street,building_number,orientation_number,longitude,latitude
z-box-vcelna-jirickova-663-flop,Z-BOX,Včelná,Jiřičkova,663,,14.45756,48.92819
z-box-cejetice-cejetice-155-1,Z-BOX,Čejetice,Čejetice,155,,14.02244,49.25359
z-box-malonty-malonty-23,Z-BOX,Malonty,Malonty,23,,14.57753,48.68618
z-box-locenice-locenice-164,Z-BOX,Ločenice,Ločenice,164,,14.52664,48.82511
z-box-litvinovice-sindlovy-dvory-8,Z-BOX,Litvínovice,Šindlovy Dvory,8,,14.43328,48.96268
z-box-besednice-namesti-271,Z-BOX,Besednice,Náměstí,271,,14.55467,48.78891
z-box-ceske-budejovice-dubenska-512-1,Z-BOX,České Budějovice,Dubenská,512,1,14.43638,48.98023
z-box-ceske-budejovice-jaroslava-hulky-1710-13-top-drogerie,Z-BOX,České Budějovice,Jaroslava Hůlky,1710,13,14.46733,48.94665
ceske-budejovice-m-chlajna-1319,Z-BOX,České Budějovice,M. Chlajna,1319,,14.43529,48.98587
ceske-budejovice-m-horakove-1657-24,Z-BOX,České Budějovice,M. Horákové,1657,24,14.44084,48.9804
z-box-ceske-budejovice-v-volfa-413,Z-BOX,České Budějovice,V. Volfa,413,,14.43694,48.98489
ceske-budejovice-jana-kollara-907-4,Z-BOX,České Budějovice,Jana Kollára,907,4,14.46714,48.95465
z-box-ceske-budejovice-k-stecha-1264-26,Z-BOX,České Budějovice,K. Štěcha,1264,26,14.43813,48.98699
z-box-ceske-budejovice-lidicka-tr-1005-137,Z-BOX,České Budějovice,Lidická tř.,1005,137,14.46901,48.95543
z-box-vidov-vidov-51,Z-BOX,Vidov,Vidov,51,,14.49421,48.92698
z-box-ceske-budejovice-prachaticka-401,Z-BOX,České Budějovice,Prachatická,401,,14.44161,48.98644
ceske-budejovice-sumavska-2006-4,Z-BOX,České Budějovice,Šumavská,2006,4,14.47031,48.95996
z-box-ceske-budejovice-kijevska-1776-57,Z-BOX,České Budějovice,Kijevská,1776,57,14.44943,48.98099
ceske-budejovice-v-talicha,Z-BOX,České Budějovice,V. Talicha,,,14.44647,48.98461
z-box-ceske-budejovice-studentska-jihoceska-univerzita,Z-BOX,České Budějovice,Studentská,,,14.45272,48.97906
z-box-benesov-nad-cernou-20,Z-BOX,Benešov nad Černou,Benešov nad Černou,20,,14.62816,48.72874
z-box-ceske-budejovice-na-zlate-stoce-551-14,Z-BOX,České Budějovice,Na Zlaté stoce,551,14,14.45511,48.98008
z-box-ceske-budejovice-na-sadkach-1444,Z-BOX,České Budějovice,Na Sádkách,1444,,14.46273,48.97375
z-box-ceske-budejovice-husova-tr-2903-kaufland,Z-BOX,České Budějovice,Husova tř.,2903,,14.44891,48.99017
z-box-ceske-budejovice-matice-skolske-1786-17-euc-lekarna,Z-BOX,České Budějovice,Matice školské,1786,17,14.47574,48.96616
z-box-ceske-budejovice-rybnicni-1752-2-a,Z-BOX,České Budějovice,Rybniční 1752/2a,,,14.45053,48.98916
z-box-nedabyle-nedabyle-23,Z-BOX,Nedabyle,Nedabyle,23,,14.51392,48.92842
z-box-ceske-budejovice-dlouha-422-4,Z-BOX,České Budějovice,Dlouhá,422,4,14.4529,48.98785
z-box-ceske-budejovice-frantiska-antonina-gerstnera-1,Z-BOX,České Budějovice,Františka Antonína Gerstnera,1,,14.47274,48.97023
z-box-slavce-slavce-26,Z-BOX,Slavče,Slavče,26,,14.6151,48.79808
ceske-budejovice-m-vydrove-1356-22,Z-BOX,České Budějovice,M. Vydrové,1356,22,14.48135,48.96614
z-box-ceske-budejovice-resslova-1552-29,Z-BOX,České Budějovice,Resslova,1552,29,14.46743,48.98034
z-box-ceske-budejovice-novohradska-1815,Z-BOX,České Budějovice,Novohradská,1815,,14.49523,48.95614
z-box-ceske-budejovice-prazska-tr-1815-1-nakupni-centrum-marianska,Z-BOX,České Budějovice,Pražská tř.,1815,1,14.47225,48.97841
