name,city,postal_code,street,building_number,orientation_number,ruian_code
Rejštejn,Rejštejn,34193,Kašperskohorská,27,0,21439273.0
Srní,Srní,34194,,113,0,21441154.0
Prášily,Prášily,34195,,110,0,2846993.0
Sušice 1,Sušice,34201,Havlíčkova,16,0,7003331.0
Sušice 2,Sušice,34202,Nádražní,223,0,7007566.0
Domažlice 1,Domažlice,34401,Msgre. B. Staška,71,0,6753281.0
Mrákov,Mrákov,34501,,105,0,6829619.0
Kout na Šumavě,Kout na Šumavě,34502,,1,0,6809944.0
Kdyně,Kdyně,34506,Náměstí,139,0,6793100.0
Všeruby u Kdyně,Všeruby,34507,,77,0,6882323.0
Pocinovice,Pocinovice,34509,,72,0,6847650.0
Úsilov,Úsilov,34511,,33,0,6878610.0
Úboč,Úboč,34512,,60,0,6874983.0
Draženov,Draženov,34520,,70,0,6758223.0
Meclov,Meclov,34521,,90,0,6821511.0
Poběžovice,Poběžovice,34522,náměstí Míru,67,0,6843778.0
Hostouň u Horšovského Týna,Hostouň,34525,Chodské náměstí,12,0,6779484.0
Bělá nad Radbuzou,Bělá nad Radbuzou,34526,Náměstí,200,0,6733905.0
Babylon,Babylon,34531,,27,0,6730566.0
Česká Kubice,Česká Kubice,34532,,121,0,6748473.0
Trhanov,Trhanov,34533,,63,0,6872522.0
Klenčí pod Čerchovem,Klenčí pod Čerchovem,34534,,118,0,6801901.0
Postřekov,Postřekov,34535,,270,0,6852734.0
Nemanice,Nemanice,34536,,84,0,6832091.0
Koloveč,Koloveč,34543,Domažlická,7,0,6806007.0
Osvračín,Osvračín,34544,,66,0,6839584.0
Blížejov,Blížejov,34545,Poštovní,81,0,6737323.0
Milavče,Milavče,34546,,9,0,6824056.0
Zahořany,Zahořany,34547,,7,0,6882994.0
Staňkov,Staňkov,34561,Plzeňská,377,0,26203383.0
Holýšov,Holýšov,34562,třída 1. máje,265,0,6764827.0
Horšovský Týn,Horšovský Týn,34601,Pivovarská,219,0,6773729.0
Tachov 1,Tachov,34701,Hornická,1596,0,15707563.0
Staré Sedliště,Staré Sedliště,34801,,359,0,15665640.0
Bor u Tachova,Bor,34802,náměstí Republiky,110,0,15592456.0
Staré Sedlo u Tachova,Staré Sedlo,34804,,60,0,15667618.0
Stráž,Stráž,34805,,21,0,15668118.0
Přimda,Přimda,34806,Borská,232,0,15661971.0
Rozvadov,Rozvadov,34807,,230,0,20810105.0
Třemešné pod Přimdou,Třemešné,34808,,16,0,20810296.0
Chodová Planá,Chodová Planá,34813,Pohraniční stráže,129,0,15622771.0
Planá u Mariánských Lázní,Planá,34815,náměstí Svobody,58,0,15651151.0
Halže,Halže,34816,U Parku,210,0,15616517.0
Stříbro,Stříbro,34901,28. října,217,0,15715361.0
Cebiv,Cebiv,34951,,91,0,15600815.0
Konstantinovy Lázně,Konstantinovy Lázně,34952,Plzeňská,87,0,20803389.0
Bezdružice,Bezdružice,34953,ČSA,180,0,15589510.0
Lestkov,Lestkov,34954,,210,0,15640931.0
Svojšín,Svojšín,34956,,135,0,15675912.0
Ošelín,Ošelín,34957,,36,0,41350871.0
Černošín,Černošín,34958,Zahradní,86,0,15603920.0
Kladruby u Stříbra,Kladruby,34961,Stříbrská,239,0,15629236.0
Kostelec u Stříbra,Kostelec,34962,,91,0,15634477.0
Trpísty,Trpísty,34972,,18,0,15683184.0
Cheb 1,Cheb,35001,Šlikova,2423,15,31011811.0
Cheb 2,Cheb,35002,Riegerova,1302,60,20905106.0
Františkovy Lázně,Františkovy Lázně,35101,Lidická,445,8,26065223.0
Nebanice,Nebanice,35112,,7,0,3831451.0
Krásná,Krásná,35122,,196,0,3828336.0
Podhradí,Podhradí,35123,,319,0,20861737.0
Hranice u Aše,Hranice,35124,U pošty,760,0,3806294.0
Libá,Libá,35131,,220,0,11845112.0
Hazlov,Hazlov,35132,,323,0,11840404.0
Vojtanov,Vojtanov,35133,Nádražní čtvrť,72,0,11854758.0
Skalná,Skalná,35134,Česká,430,0,3815617.0
Plesná u Chebu,Plesná,35135,5. května,301,0,3824543.0
Nový Kostel,Nový Kostel,35136,,27,0,20875371.0
Luby u Chebu,Luby,35137,Revoluční,510,0,12979881.0
Aš 1,Aš,35201,Poštovní náměstí,911,0,11857056.0
Mariánské Lázně 1,Mariánské Lázně,35301,Poštovní,160,17,20926961.0
Velká Hleďsebe,Velká Hleďsebe,35471,Pohraniční stráže,105,0,3841146.0
Drmoul,Drmoul,35472,Plzeňská,237,0,17709822.0
Tři Sekery,Tři Sekery,35473,,82,0,11881844.0
Mnichov,Mnichov,35483,,1,0,3817067.0
Lázně Kynžvart,Lázně Kynžvart,35491,5. května,268,0,20865261.0
Dolní Žandov,Dolní Žandov,35493,,273,0,3819973.0
Sokolov 1,Sokolov,35601,Karla Havlíčka Borovského,1420,0,20795912.0
Dolní Rychnov,Dolní Rychnov,35604,Dobrovského,173,0,20946767.0
Rotava 1,Rotava,35701,Sídliště,648,0,24606545.0
Rotava 2,Rotava,35702,Kraslická,284,0,24604046.0
Svatava,Svatava,35703,ČSA,228,0,20955189.0
Lomnice,Lomnice,35704,Kraslická,124,0,2611007.0
Jindřichovice v Krušných horách,Jindřichovice,35705,,170,0,2621703.0
Šindelová,Šindelová,35706,,117,0,20958757.0
Oloví,Oloví,35707,ČSA,286,0,20944179.0
Krajková,Krajková,35708,,295,0,20939299.0
Habartov,Habartov,35709,náměstí Přátelství,112,0,2614111.0
Stříbrná,Stříbrná,35721,,75E,0,20952074.0
Bublava,Bublava,35722,,686,0,20932111.0
Horní Slavkov,Horní Slavkov,35731,Nová,600,0,28371551.0
Loket,Loket,35733,T. G. Masaryka,99,39,2583640.0
Nové Sedlo u Lokte,Nové Sedlo,35734,Masarykova,520,0,2604752.0
Chodov u Karlových Var 1,Chodov,35735,Husova,786,0,20967616.0
Královské Poříčí,Královské Poříčí,35741,Lázeňská,159,0,20941277.0
Vřesová u Sokolova,Vřesová,35743,,3,0,2624176.0
Vintířov u Sokolova,Vintířov,35744,,72,0,20960000.0
Staré Sedlo u Sokolova,Staré Sedlo,35746,Sokolovská,195,0,14858614.0
Krásno nad Teplou,Krásno,35747,Radniční,1,0,2589591.0
Kynšperk nad Ohří,Kynšperk nad Ohří,35751,Dlouhá,82,2,14848511.0
Libavské Údolí,Libavské Údolí,35753,,111,0,20942427.0
Chlum Svaté Maří,Chlum Svaté Maří,35754,náměstí J. W. Goetheho,26,0,20936273.0
Bukovany u Sokolova,Bukovany,35755,,156,0,2627060.0
Citice,Citice,35756,,166,0,20935323.0
Březová u Sokolova,Březová,35761,náměstí Míru,230,0,2607085.0
Rovná u Sokolova,Rovná,35765,,42,0,2599813.0
Kraslice,Kraslice,35801,náměstí 28. října,1705,4,14870053.0
Karlovy Vary 1,Karlovy Vary,36001,T. G. Masaryka,559,1,20734531.0
Karlovy Vary 5,Karlovy Vary,36005,Sokolovská,243,92,20685726.0
Karlovy Vary 6,Karlovy Vary,36006,Chebská,370,81a,26758636.0
